,Accuracy,F1,ROC-AUC,Avg Precision
logistic,0.6054412480828657,0.2836698945698516,0.6630719573622539,0.1953963824049199
random_forest,0.6564358823823893,0.33181387691517894,0.7343094320753449,0.2550969075456353
xgboost,0.8775628160142721,0.006426118107619012,0.7556475336092989,0.2874549880188734
neural_net,0.6398063068598137,0.3417474113194993,0.7600568700508674,0.2882681200902039
